Features,Reduced Dimension Space,accuracy,precision,verification error
pca,100.0,37.03703703703704,0.4146717563837129,62.96296296296296
k_pca,100.0,26.666666666666668,0.3572916666666667,73.33333333333333
lda,7.0,96.29629629629629,0.9630411255411255,3.7037037037037095
k_lda,7.0,96.29629629629629,0.9716819221967963,3.7037037037037095
resnet,2048.0,97.77777777777777,0.9779017857142858,2.2222222222222285
vgg,4096.0,71.11111111111111,0.6797637085137085,28.888888888888886
pca+lda+vgg,4203.0,85.18518518518519,0.8450051759834368,14.81481481481481
k_pca+k_lda,107.0,96.29629629629629,0.9716819221967963,3.7037037037037095
resnet+vgg,6144.0,98.51851851851852,0.9838541666666667,1.481481481481481
all,6358.0,100.0,1.0,0.0
